"Step","VeryHighPen-DR3 - rollout/ep_rew_mean","VeryHighPen-DR3 - rollout/ep_rew_mean__MIN","VeryHighPen-DR3 - rollout/ep_rew_mean__MAX","MedPen-HoleNoise - rollout/ep_rew_mean","MedPen-HoleNoise - rollout/ep_rew_mean__MIN","MedPen-HoleNoise - rollout/ep_rew_mean__MAX"
"0","-1.4256956577301025","-1.4256956577301025","-1.4256956577301025","","",""
"1","-1.7731330394744873","-1.7731330394744873","-1.7731330394744873","","",""
"2","-1.7731330394744873","-1.7731330394744873","-1.7731330394744873","","",""
"3","17.264375686645508","17.264375686645508","17.264375686645508","105.07986450195312","105.07986450195312","105.07986450195312"
"4","13.211408615112305","13.211408615112305","13.211408615112305","105.07986450195312","105.07986450195312","105.07986450195312"
"5","13.193990707397461","13.193990707397461","13.193990707397461","105.07986450195312","105.07986450195312","105.07986450195312"
"6","13.193990707397461","13.193990707397461","13.193990707397461","105.07986450195312","105.07986450195312","105.07986450195312"
"7","15.244549751281738","15.244549751281738","15.244549751281738","127.40769958496094","127.40769958496094","127.40769958496094"
"8","15.560585975646973","15.560585975646973","15.560585975646973","127.40769958496094","127.40769958496094","127.40769958496094"
"9","15.59782886505127","15.59782886505127","15.59782886505127","127.40769958496094","127.40769958496094","127.40769958496094"
"10","15.59782886505127","15.59782886505127","15.59782886505127","127.40769958496094","127.40769958496094","127.40769958496094"
"11","35.822601318359375","35.822601318359375","35.822601318359375","122.4275131225586","122.4275131225586","122.4275131225586"
"12","35.45952606201172","35.45952606201172","35.45952606201172","122.4275131225586","122.4275131225586","122.4275131225586"
"13","30.683149337768555","30.683149337768555","30.683149337768555","122.4275131225586","122.4275131225586","122.4275131225586"
"14","33.356056213378906","33.356056213378906","33.356056213378906","122.4275131225586","122.4275131225586","122.4275131225586"
"15","2.5521938800811768","2.5521938800811768","2.5521938800811768","124.34535217285156","124.34535217285156","124.34535217285156"
"16","7.4016618728637695","7.4016618728637695","7.4016618728637695","124.34535217285156","124.34535217285156","124.34535217285156"
"17","7.389106273651123","7.389106273651123","7.389106273651123","124.34535217285156","124.34535217285156","124.34535217285156"
"18","9.322518348693848","9.322518348693848","9.322518348693848","124.34535217285156","124.34535217285156","124.34535217285156"
"19","30.318952560424805","30.318952560424805","30.318952560424805","132.74539184570312","132.74539184570312","132.74539184570312"
"20","29.368803024291992","29.368803024291992","29.368803024291992","132.74539184570312","132.74539184570312","132.74539184570312"
"21","29.360872268676758","29.360872268676758","29.360872268676758","132.74539184570312","132.74539184570312","132.74539184570312"
"22","32.3623046875","32.3623046875","32.3623046875","132.74539184570312","132.74539184570312","132.74539184570312"
"23","72.74195098876953","72.74195098876953","72.74195098876953","122.06523895263672","122.06523895263672","122.06523895263672"
"24","74.44546508789062","74.44546508789062","74.44546508789062","122.06523895263672","122.06523895263672","122.06523895263672"
"25","78.08552551269531","78.08552551269531","78.08552551269531","122.06523895263672","122.06523895263672","122.06523895263672"
"26","68.93914031982422","68.93914031982422","68.93914031982422","122.06523895263672","122.06523895263672","122.06523895263672"
"27","6.0244317054748535","6.0244317054748535","6.0244317054748535","92.55371856689453","92.55371856689453","92.55371856689453"
"28","6.699424743652344","6.699424743652344","6.699424743652344","92.55371856689453","92.55371856689453","92.55371856689453"
"29","8.897017478942871","8.897017478942871","8.897017478942871","92.55371856689453","92.55371856689453","92.55371856689453"
