"Step","With Off-Edge Reset - rollout/ep_rew_mean","With Off-Edge Reset - rollout/ep_rew_mean__MIN","With Off-Edge Reset - rollout/ep_rew_mean__MAX","Without Off-Edge Reset - rollout/ep_rew_mean","Without Off-Edge Reset - rollout/ep_rew_mean__MIN","Without Off-Edge Reset - rollout/ep_rew_mean__MAX"
"99","40.772335052490234","40.772335052490234","40.772335052490234","29.618494033813477","29.618494033813477","29.618494033813477"
"100","46.60253143310547","46.60253143310547","46.60253143310547","32.45736312866211","32.45736312866211","32.45736312866211"
"101","44.170860290527344","44.170860290527344","44.170860290527344","27.72455596923828","27.72455596923828","27.72455596923828"
"102","48.89226150512695","48.89226150512695","48.89226150512695","30.67740821838379","30.67740821838379","30.67740821838379"
"103","31.219863891601562","31.219863891601562","31.219863891601562","31.1983699798584","31.1983699798584","31.1983699798584"
"104","35.39312744140625","35.39312744140625","35.39312744140625","32.873313903808594","32.873313903808594","32.873313903808594"
"105","44.56180191040039","44.56180191040039","44.56180191040039","24.421228408813477","24.421228408813477","24.421228408813477"
"106","49.577430725097656","49.577430725097656","49.577430725097656","35.01201248168945","35.01201248168945","35.01201248168945"
"107","34.271854400634766","34.271854400634766","34.271854400634766","37.6070556640625","37.6070556640625","37.6070556640625"
"108","51.93181228637695","51.93181228637695","51.93181228637695","29.37255096435547","29.37255096435547","29.37255096435547"
"109","48.23616409301758","48.23616409301758","48.23616409301758","31.507402420043945","31.507402420043945","31.507402420043945"
"110","27.993148803710938","27.993148803710938","27.993148803710938","20.882274627685547","20.882274627685547","20.882274627685547"
"111","44.632408142089844","44.632408142089844","44.632408142089844","28.084562301635742","28.084562301635742","28.084562301635742"
"112","43.01557159423828","43.01557159423828","43.01557159423828","26.963516235351562","26.963516235351562","26.963516235351562"
"113","35.791648864746094","35.791648864746094","35.791648864746094","27.1743221282959","27.1743221282959","27.1743221282959"
"114","29.730989456176758","29.730989456176758","29.730989456176758","28.617956161499023","28.617956161499023","28.617956161499023"
"115","53.260986328125","53.260986328125","53.260986328125","28.886310577392578","28.886310577392578","28.886310577392578"
"116","40.02801513671875","40.02801513671875","40.02801513671875","24.529664993286133","24.529664993286133","24.529664993286133"
"117","27.392332077026367","27.392332077026367","27.392332077026367","32.234413146972656","32.234413146972656","32.234413146972656"
"118","42.58234786987305","42.58234786987305","42.58234786987305","29.2712345123291","29.2712345123291","29.2712345123291"
"119","30.60104751586914","30.60104751586914","30.60104751586914","26.995962142944336","26.995962142944336","26.995962142944336"
"120","33.05754470825195","33.05754470825195","33.05754470825195","37.350730895996094","37.350730895996094","37.350730895996094"
"121","38.31836700439453","38.31836700439453","38.31836700439453","33.811431884765625","33.811431884765625","33.811431884765625"
"122","42.66791915893555","42.66791915893555","42.66791915893555","29.16120719909668","29.16120719909668","29.16120719909668"
"123","43.57381820678711","43.57381820678711","43.57381820678711","22.907054901123047","22.907054901123047","22.907054901123047"
