timestep,tcp_position_0,tcp_position_1,tcp_position_2,wrench_0,wrench_1,wrench_2,wrench_3,wrench_4,wrench_5,hole_position_0,hole_position_1,hole_position_2,actions_0,actions_1,actions_2
0,-0.5257800221443176,0.3439213037490845,0.07052876055240631,0.04734622687101364,0.09631229192018509,-0.05272231251001358,0.09039140492677689,-0.04447657987475395,0.04437568038702011,-0.525713324546814,0.3457375466823578,0.0024443024303764105,0.0,0.0,0.0
1,-0.5250499248504639,0.3454899787902832,0.06792030483484268,-0.37149709463119507,-0.5016731023788452,-14.640063285827637,0.01229926198720932,0.11002364009618759,0.0012023970484733582,-0.5229913592338562,0.3497476875782013,0.002495097229257226,8.180234909057617,13.64137077331543,-27.659093856811523
2,-0.5253384113311768,0.3473048210144043,0.06499861925840378,-20.730506896972656,-21.034229278564453,-12.083434104919434,-1.2793093919754028,1.283162236213684,-0.07565394043922424,-0.526850700378418,0.34944891929626465,0.002406104002147913,7.490102767944336,18.349925994873047,-30.882797241210938
3,-0.5248115658760071,0.3472708463668823,0.06024724990129471,-22.362138748168945,-13.961929321289062,-9.473835945129395,-1.3937934637069702,3.0218679904937744,0.020263008773326874,-0.5258138179779053,0.3442811369895935,0.002598288469016552,16.68375015258789,10.259638786315918,-47.976654052734375
4,-0.5246219038963318,0.3474259078502655,0.05538337677717209,-21.718631744384766,-11.537385940551758,-7.231107711791992,-1.758337140083313,3.659353733062744,-0.10770188271999359,-0.5295689702033997,0.34807088971138,0.0025102240033447742,16.49596405029297,10.2431640625,-48.19378662109375
5,-0.5245457291603088,0.3474259674549103,0.05032884702086449,-26.84587287902832,-14.44662857055664,-7.717550277709961,-1.4038933515548706,3.2390851974487305,-0.038682930171489716,-0.5286684632301331,0.3467767536640167,0.002403505379334092,16.499622344970703,10.247537612915039,-48.19774627685547
6,-0.4518103301525116,0.30982306599617004,0.0704972892999649,0.042007528245449066,0.04047983139753342,-0.034176722168922424,0.05150970071554184,0.09444529563188553,0.03668738156557083,-0.4498039782047272,0.30877718329429626,0.002504469593986869,0.0,0.0,0.0
7,-0.4510060250759125,0.31135278940200806,0.06779977679252625,-0.0017882362008094788,0.03253636509180069,-14.400842666625977,-0.09847616404294968,-0.030975960195064545,0.03015320748090744,-0.4554581344127655,0.31215864419937134,0.0024598734453320503,7.589637279510498,13.10561752319336,-28.476940155029297
8,-0.4524783194065094,0.312895268201828,0.06557059288024902,-19.7016544342041,-29.63213348388672,88.41065979003906,-8.255524635314941,2.641591787338257,-0.06714935600757599,-0.44808751344680786,0.31337517499923706,0.002446416998282075,7.435840606689453,18.474992752075195,-30.70345687866211
9,-0.45247548818588257,0.3128242790699005,0.06306439638137817,-0.3993314504623413,-10.113216400146484,-5.86739444732666,-3.497964859008789,1.4896994829177856,-0.007411777973175049,-0.45224061608314514,0.3096839487552643,0.002564740600064397,6.462964057922363,7.504458427429199,-24.01406478881836
10,-0.4520653486251831,0.3129613697528839,0.058410800993442535,-34.216068267822266,-21.213043212890625,-8.570480346679688,-1.7078229188919067,2.659466505050659,0.07376515120267868,-0.4518788754940033,0.3086206614971161,0.0024801359977573156,16.16428565979004,10.357157707214355,-47.70771026611328
