timestep,tcp_position_0,tcp_position_1,tcp_position_2,wrench_0,wrench_1,wrench_2,wrench_3,wrench_4,wrench_5,hole_position_0,hole_position_1,hole_position_2,actions_0,actions_1,actions_2
0,-0.453613817691803,0.32186344265937805,0.07049912214279175,0.0,0.0,0.0,0.0,0.0,0.0,-0.45450085401535034,0.32209262251853943,0.0024999999441206455,0.0,0.0,0.0
1,-0.45303207635879517,0.3217475116252899,0.06829684972763062,0.3521270453929901,2.477090835571289,-14.306087493896484,-0.37597760558128357,-0.028650179505348206,0.0002166869380744174,-0.45450085401535034,0.32209262251853943,0.002500000409781933,4.724891185760498,-1.8115029335021973,-23.244367599487305
2,-0.45370349287986755,0.3219757080078125,0.06479580700397491,-8.452692031860352,1.1770315170288086,-10.000709533691406,0.054343391209840775,0.4341842234134674,-0.0007356787100434303,-0.45450085401535034,0.32209262251853943,0.002500000409781933,4.640373229980469,-0.054119884967803955,-39.20364761352539
3,-0.4535687565803528,0.32227927446365356,0.059906005859375,-3.18226957321167,-0.05429968237876892,-13.594173431396484,-0.003444829024374485,0.7076354026794434,0.0007450960110872984,-0.45450085401535034,0.32209262251853943,0.002500000409781933,1.9176793098449707,3.000063419342041,-46.999732971191406
4,-0.45364636182785034,0.32247617840766907,0.05495521426200867,-5.9183149337768555,-2.8182144165039062,-12.135930061340332,-0.5057039260864258,0.7284212708473206,0.020996039733290672,-0.45450085401535034,0.32209262251853943,0.002500000409781933,1.9753775596618652,2.952831745147705,-46.93173599243164
5,-0.45368480682373047,0.3226557970046997,0.04986676573753357,-5.414315223693848,-3.389801502227783,-14.099177360534668,-0.20122350752353668,0.3566414415836334,0.0012058753054589033,-0.45450085401535034,0.32209262251853943,0.002500000409781933,1.9468064308166504,2.979607343673706,-47.046241760253906
6,-0.5264383554458618,0.3057268261909485,0.07050031423568726,0.0,0.0,0.0,0.0,0.0,0.0,-0.5289673209190369,0.31021618843078613,0.0024999999441206455,0.0,0.0,0.0
7,-0.5259537696838379,0.3052960932254791,0.06826445460319519,-0.06386162340641022,-0.010720477439463139,-14.468904495239258,0.0038906552363187075,0.0027132031973451376,-3.840893441520166e-06,-0.5289673209190369,0.31021618843078613,0.002500000409781933,4.8170695304870605,-1.8644659519195557,-23.302410125732422
8,-0.5267751216888428,0.3055993318557739,0.06615173816680908,22.66360092163086,-35.87339401245117,244.68362426757812,-6.810928821563721,-3.5747737884521484,0.040048204362392426,-0.5289673209190369,0.31021618843078613,0.002500000409781933,4.609630584716797,-0.010000348091125488,-39.489105224609375
9,-0.527601957321167,0.30615609884262085,0.06597362458705902,28.315711975097656,-8.451042175292969,144.435302734375,-4.521255016326904,-4.694710731506348,0.05274791270494461,-0.5289673209190369,0.31021618843078613,0.002500000409781933,-5.593541145324707,0.248768150806427,-12.669282913208008
